"ID","Site","Zone","Habitat","Transect","Class","Order","Family","Genus","GenusSpecies","Length","Abundance","a","b","NT","Lm","Lmax","BodyShape","DemersPelag","PriceCateg","UsedasBait","Aquarium","Importance","Comments"
"ICONF1","ICO","N","F","1","Actinopterygii","Perciformes","Labridae","Oxyjulis","Oxyjulis californica","5",135,0.00447,3.14,3.1,NA,25,"elongated","demersal","very high","never/rarely","commercial",NA,"Live in kelp and other seaweeds and over rocks. Occurs in intertidal up to 97 m (Ref. 96339). Found usually at depths shallower than 23 m but also caught at depths up to 73 m.  Often form small groups, frequently well off bottom.  When disturbed often burrows in bottom sediment.  Sleep at night buried in sand with head protruding.  Feed on a variety of small invertebrates and also picks parasites from other fishes that come to be cleaned.  No sex reversal.  Pelagic spawner (Ref. 56049)."
"ICONF1","ICO","N","F","1","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes atrovirens","5",3,NA,NA,NA,NA,NA,"fusiform / normal","demersal","medium","never/rarely","never/rarely",NA,"Usually found on or near bottom in kelp beds or rocky areas (Ref. 2850).  Viviparous, with planktonic larvae (Ref. 36715)."
"ICONF2","ICO","N","F","2","Actinopterygii","Perciformes","Pomacentridae","Chromis","Chromis punctipinnis","5",15,0.01479,2.99,2.7,NA,NA,"fusiform / normal","reef-associated","unknown","never/rarely",NA,"minor commercial","Adults occur near bottom over or near rocks, especially over steep banks, and also in kelp beds.  Young school in open ocean.  They retire to rocky holes at night (Ref. 7247).  Oviparous, distinct pairing during breeding (Ref. 205).  Eggs are demersal and adhere to the substrate (Ref. 205).  Males guard and aerate the eggs (Ref. 205).  Good eating."
"ICONF0","ICO","N","F","0","Actinopterygii","Perciformes","Malacanthidae","Caulolatilus","Caulolatilus princeps","5",1,0.0239,3,NA,NA,102,"elongated","reef-associated","low","never/rarely","never/rarely","commercial","Inhabits rocky bottoms (Ref. 9119).  Also found on soft sand and mud bottoms.  Solitary species.  Digs into the substrate for food (Ref. 5227)."
"ICONF0","ICO","N","F","0","Actinopterygii","Perciformes","Embiotocidae","Rhacochilus","Rhacochilus toxotes","5",1,NA,NA,NA,NA,NA,"short and / or deep","demersal","unknown","never/rarely","never/rarely","commercial","Adults usually found in rocky areas, also in kelp and near jetties and pilings (Ref. 2850). From Surf zone to 50 m (Ref. 96339). Often in schools (Ref. 2850).  Viviparous, female carries the developing young (Ref. 205)."
"ICONM1","ICO","N","M","1","Actinopterygii","Perciformes","Labridae","Oxyjulis","Oxyjulis californica","5",30,0.00447,3.14,3.1,NA,25,"elongated","demersal","very high","never/rarely","commercial",NA,"Live in kelp and other seaweeds and over rocks. Occurs in intertidal up to 97 m (Ref. 96339). Found usually at depths shallower than 23 m but also caught at depths up to 73 m.  Often form small groups, frequently well off bottom.  When disturbed often burrows in bottom sediment.  Sleep at night buried in sand with head protruding.  Feed on a variety of small invertebrates and also picks parasites from other fishes that come to be cleaned.  No sex reversal.  Pelagic spawner (Ref. 56049)."
"ICONM0","ICO","N","M","0","Actinopterygii","Perciformes","Clinidae","Heterostichus","Heterostichus rostratus","5",1,NA,NA,NA,NA,NA,"elongated","demersal","unknown",NA,"commercial",NA,"Occurs in intertidal and to 40 m (Ref. 96339). Found among rocks with large seaweeds, often in kelp.  Young occur in schools while adults are solitary.  Feeds on small crustaceans, mollusks and small fishes.  Female attaches eggs to seaweeds, male guards them."
"ICONM0","ICO","N","M","0","Actinopterygii","Perciformes","Embiotocidae","Rhacochilus","Rhacochilus vacca","5",1,0.0195,3.03,NA,NA,52.71820806,"short and / or deep","demersal","unknown","never/rarely","public aquariums","commercial","Adults occur in rocky shores, often around kelp, pilings and underwater structures (Ref. 2850).  Feed on hard-shelled mollusks, crabs and barnacles (Ref. 2850).  Viviparous, female carries the developing young (Ref. 205)."
"ICONM0","ICO","N","M","0","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes atrovirens","5",1,NA,NA,NA,NA,NA,"fusiform / normal","demersal","medium","never/rarely","never/rarely",NA,"Usually found on or near bottom in kelp beds or rocky areas (Ref. 2850).  Viviparous, with planktonic larvae (Ref. 36715)."
"ICONM0","ICO","N","M","0","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes auriculatus","5",1,0.01,3.07,NA,31,56,"fusiform / normal","demersal","medium","occasionally","public aquariums","minor commercial","A sedentary rockfish found in shallow water and bays (Ref. 2850), among sheltering weed-covered rocks or around pilings (Ref. 27436).  Viviparous, with planktonic larvae and pelagic juveniles (Ref. 36715).  Fin spines are sharp and mildly venomous and can cause annoying wounds (Ref. 27436).  Small live specimens make excellent bait for large lingcod (Ref. 27436).  Flesh is firm and tasty, but rarely found in markets (Ref. 26346)."
