location,genus_species,Year,D
NAP,Paralabrax clathratus,1971,0.0377
NAP,Paralabrax clathratus,1972,0.0384
NAP,Paralabrax clathratus,1973,0.0171
NAP,Paralabrax clathratus,1974,0.0121
NAP,Paralabrax clathratus,1971,0.0214
NAP,Paralabrax clathratus,1972,0.0329
NAP,Paralabrax clathratus,1973,0.0301
NAP,Paralabrax clathratus,1974,0.022
NAP,Girella nigricans,1971,0.0204
NAP,Girella nigricans,1972,0.0246
NAP,Girella nigricans,1973,0.0053
NAP,Girella nigricans,1974,0.0059
NAP,Girella nigricans,1971,0.034
NAP,Girella nigricans,1972,0.0272
NAP,Girella nigricans,1973,0.0128
NAP,Girella nigricans,1974,0.0167
NAP,Medialuna californiensis,1971,0.0097
NAP,Medialuna californiensis,1972,0.0132
NAP,Medialuna californiensis,1973,0.0039
NAP,Medialuna californiensis,1974,0.0153
NAP,Medialuna californiensis,1971,0.0021
NAP,Medialuna californiensis,1972,0.0019
NAP,Medialuna californiensis,1973,0.0013
NAP,Medialuna californiensis,1974,0.0026
NAP,Brachyistius frenatus,1971,0
NAP,Brachyistius frenatus,1972,0
NAP,Brachyistius frenatus,1973,0
NAP,Brachyistius frenatus,1974,0
NAP,Brachyistius frenatus,1971,0.2161
NAP,Brachyistius frenatus,1972,0.1394
NAP,Brachyistius frenatus,1973,0.0299
NAP,Brachyistius frenatus,1974,0.019
NAP,Rhacochilus vacca,1971,0.0103
NAP,Rhacochilus vacca,1972,0.0109
NAP,Rhacochilus vacca,1973,0.006
NAP,Rhacochilus vacca,1974,0.0062
NAP,Rhacochilus vacca,1971,0.0047
NAP,Rhacochilus vacca,1972,0.007
NAP,Rhacochilus vacca,1973,0.0047
NAP,Rhacochilus vacca,1974,0.0039
NAP,Embiotoca jacksoni,1971,0.026
NAP,Embiotoca jacksoni,1972,0.0512
NAP,Embiotoca jacksoni,1973,0.0383
NAP,Embiotoca jacksoni,1974,0.0339
NAP,Embiotoca jacksoni,1971,0.0137
NAP,Embiotoca jacksoni,1972,0.0117
NAP,Embiotoca jacksoni,1973,0.0082
NAP,Embiotoca jacksoni,1974,0.0101
NAP,Embiotoca lateralis,1971,0.0028
NAP,Embiotoca lateralis,1972,0.0154
NAP,Embiotoca lateralis,1973,0.0035
NAP,Embiotoca lateralis,1974,0.0032
NAP,Embiotoca lateralis,1971,0.0037
NAP,Embiotoca lateralis,1972,0.0061
NAP,Embiotoca lateralis,1973,0.0048
NAP,Embiotoca lateralis,1974,0.0036
NAP,Hypsurus caryi ,1971,0.0028
NAP,Hypsurus caryi ,1972,0.0154
NAP,Hypsurus caryi ,1973,0.0035
NAP,Hypsurus caryi ,1974,0.0032
NAP,Hypsurus caryi ,1971,0.0037
NAP,Hypsurus caryi ,1972,0.0061
NAP,Hypsurus caryi ,1973,0.0048
NAP,Hypsurus caryi ,1974,0.0036
NAP,Rhacochilus toxotes,1971,0.0067
NAP,Rhacochilus toxotes,1972,0.0043
NAP,Rhacochilus toxotes,1973,0.0015
NAP,Rhacochilus toxotes,1974,0.001
NAP,Rhacochilus toxotes,1971,0.0005
NAP,Rhacochilus toxotes,1972,0.003
NAP,Rhacochilus toxotes,1973,0.0014
NAP,Rhacochilus toxotes,1974,0.0016
NAP,Chromis punctipinnis,1971,0.0864
NAP,Chromis punctipinnis,1972,0.1207
NAP,Chromis punctipinnis,1973,0.0689
NAP,Chromis punctipinnis,1974,0.0657
NAP,Chromis punctipinnis,1971,0.1872
NAP,Chromis punctipinnis,1972,0.142
NAP,Chromis punctipinnis,1973,0.014
NAP,Chromis punctipinnis,1974,0.0976
NAP,Hypsypops rubicundus,1971,0
NAP,Hypsypops rubicundus,1972,0
NAP,Hypsypops rubicundus,1973,0
NAP,Hypsypops rubicundus,1974,0
NAP,Hypsypops rubicundus,1971,0.0208
NAP,Hypsypops rubicundus,1972,0.0273
NAP,Hypsypops rubicundus,1973,0.0108
NAP,Hypsypops rubicundus,1974,0.0167
NAP,Oxyjulis californica,1971,0.0161
NAP,Oxyjulis californica,1972,0.0336
NAP,Oxyjulis californica,1973,0.028
NAP,Oxyjulis californica,1974,0.0194
NAP,Oxyjulis californica,1971,0.0071
NAP,Oxyjulis californica,1972,0.0185
NAP,Oxyjulis californica,1973,0.0143
NAP,Oxyjulis californica,1974,0.026
NAP,Semicossyphus pulcher,1971,0.0025
NAP,Semicossyphus pulcher,1972,0.0095
NAP,Semicossyphus pulcher,1973,0.002
NAP,Semicossyphus pulcher,1974,0.0014
NAP,Semicossyphus pulcher,1971,0.0213
