Year,Month,Location,Latitude,Longitude,Site,Zone,Level,ID,Transect,GenusSpecies,TotalLength,Abundance
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Fondo,ASANF1,1,Alloclinus holderi,10,1
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Fondo,ASANF1,1,Caulolatilus princeps,20,3
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Fondo,ASANF1,1,Chromis punctipinnis,10,14
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Fondo,ASANF1,1,Embiotoca jacksoni,20,6
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Fondo,ASANF1,1,Embiotoca lateralis,20,1
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Fondo,ASANF1,1,Girella nigricans,25,1
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Fondo,ASANF1,1,Hypsypops rubicundus,20,4
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Fondo,ASANF1,1,Oxyjulis californica,5,2
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Fondo,ASANF1,1,Oxyjulis californica,10,61
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Fondo,ASANF1,1,Oxyjulis californica,15,46
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Fondo,ASANF1,1,Paralabrax clathratus,15,1
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Fondo,ASANF1,1,Paralabrax clathratus,45,2
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Fondo,ASANF1,1,Sebastes carnatus,25,1
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Fondo,ASANF1,1,Semicossyphus pulcher,10,1
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Fondo,ASANF1,1,Semicossyphus pulcher,20,3
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Fondo,ASANF1,1,Semicossyphus pulcher,35,1
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Fondo,ASANF1,1,Zapteryx exasperata,95,1
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Fondo,ASANF2,2,Alloclinus holderi,5,1
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Fondo,ASANF2,2,Alloclinus holderi,10,2
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Fondo,ASANF2,2,Chromis punctipinnis,5,3
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Fondo,ASANF2,2,Chromis punctipinnis,10,6
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Fondo,ASANF2,2,Embiotoca jacksoni,20,3
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Fondo,ASANF2,2,Embiotoca jacksoni,30,1
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Fondo,ASANF2,2,Embiotoca lateralis,30,1
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Fondo,ASANF2,2,Hypsypops rubicundus,25,3
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Fondo,ASANF2,2,Oxyjulis californica,15,1
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Fondo,ASANF2,2,Paralabrax clathratus,20,2
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Fondo,ASANF2,2,Rhinogobiops nicholsii,10,1
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Fondo,ASANF2,2,Sebastes atrovirens,20,1
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Fondo,ASANF2,2,Sebastes atrovirens,25,1
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Fondo,ASANF2,2,Sebastes carnatus,25,1
2013,Noviembre,ASA,29.732111,-115.775556,Norte,NA,Fondo,ASANF2,2,Semicossyphus pulcher,20,3
