"Index","Location","Latitude","Longitude","Latitudinal.distance..km.","Species","English","Spanish","Lt..cm.","Abundance","SampleArea","Population","Latitude2","Longitude2","Fishing.Pressure"
1,"ASA",29.731835,-115.76808,291.947538,"Paralabrax clathratus","Kelp bass","Cabrilla Sargacera",15,1,720,38,29.75,-115.691,"Low"
2,"ASA",29.731835,-115.76808,291.947538,"Paralabrax clathratus","Kelp bass","Cabrilla Sargacera",45,1,720,38,29.75,-115.691,"Low"
3,"ASA",29.731835,-115.76808,291.947538,"Paralabrax clathratus","Kelp bass","Cabrilla Sargacera",45,1,720,38,29.75,-115.691,"Low"
4,"ASA",29.731835,-115.76808,291.947538,"Paralabrax clathratus","Kelp bass","Cabrilla Sargacera",20,1,720,38,29.75,-115.691,"Low"
5,"ASA",29.731835,-115.76808,291.947538,"Paralabrax clathratus","Kelp bass","Cabrilla Sargacera",20,1,720,38,29.75,-115.691,"Low"
6,"ASA",29.731835,-115.76808,291.947538,"Paralabrax clathratus","Kelp bass","Cabrilla Sargacera",15,1,720,38,29.75,-115.691,"Low"
7,"ASA",29.731835,-115.76808,291.947538,"Paralabrax clathratus","Kelp bass","Cabrilla Sargacera",15,1,720,38,29.75,-115.691,"Low"
8,"ASA",29.731835,-115.76808,291.947538,"Paralabrax clathratus","Kelp bass","Cabrilla Sargacera",15,1,720,38,29.75,-115.691,"Low"
9,"ASA",29.731835,-115.76808,291.947538,"Paralabrax clathratus","Kelp bass","Cabrilla Sargacera",15,1,720,38,29.75,-115.691,"Low"
10,"ASA",29.731835,-115.76808,291.947538,"Paralabrax clathratus","Kelp bass","Cabrilla Sargacera",15,1,720,38,29.75,-115.691,"Low"
11,"ASA",29.731835,-115.76808,291.947538,"Paralabrax clathratus","Kelp bass","Cabrilla Sargacera",15,1,720,38,29.75,-115.691,"Low"
12,"ASA",29.731835,-115.76808,291.947538,"Paralabrax clathratus","Kelp bass","Cabrilla Sargacera",45,1,720,38,29.75,-115.691,"Low"
13,"ASA",29.731835,-115.76808,291.947538,"Paralabrax clathratus","Kelp bass","Cabrilla Sargacera",35,1,720,38,29.75,-115.691,"Low"
14,"ASA",29.731835,-115.76808,291.947538,"Paralabrax clathratus","Kelp bass","Cabrilla Sargacera",40,1,720,38,29.75,-115.691,"Low"
15,"ASA",29.731835,-115.76808,291.947538,"Paralabrax clathratus","Kelp bass","Cabrilla Sargacera",55,1,720,38,29.75,-115.691,"Low"
16,"ASA",29.731835,-115.76808,291.947538,"Paralabrax clathratus","Kelp bass","Cabrilla Sargacera",45,1,720,38,29.75,-115.691,"Low"
17,"ASA",29.731835,-115.76808,291.947538,"Paralabrax clathratus","Kelp bass","Cabrilla Sargacera",50,1,720,38,29.75,-115.691,"Low"
18,"ASA",29.731835,-115.76808,291.947538,"Sebastes atrovirens","Kelp rockfish","Rocot sargacero",20,1,720,38,29.75,-115.691,"Low"
19,"ASA",29.731835,-115.76808,291.947538,"Sebastes atrovirens","Kelp rockfish","Rocot sargacero",25,1,720,38,29.75,-115.691,"Low"
20,"ASA",29.731835,-115.76808,291.947538,"Sebastes atrovirens","Kelp rockfish","Rocot sargacero",30,1,720,38,29.75,-115.691,"Low"
21,"ASA",29.731835,-115.76808,291.947538,"Sebastes atrovirens","Kelp rockfish","Rocot sargacero",30,1,720,38,29.75,-115.691,"Low"
22,"ASA",29.731835,-115.76808,291.947538,"Sebastes atrovirens","Kelp rockfish","Rocot sargacero",30,1,720,38,29.75,-115.691,"Low"
23,"ASA",29.731835,-115.76808,291.947538,"Semicossyphus pulcher","California sheephead","Vieja",10,1,720,38,29.75,-115.691,"Low"
24,"ASA",29.731835,-115.76808,291.947538,"Semicossyphus pulcher","California sheephead","Vieja",20,1,720,38,29.75,-115.691,"Low"
25,"ASA",29.731835,-115.76808,291.947538,"Semicossyphus pulcher","California sheephead","Vieja",20,1,720,38,29.75,-115.691,"Low"
26,"ASA",29.731835,-115.76808,291.947538,"Semicossyphus pulcher","California sheephead","Vieja",20,1,720,38,29.75,-115.691,"Low"
27,"ASA",29.731835,-115.76808,291.947538,"Semicossyphus pulcher","California sheephead","Vieja",35,1,720,38,29.75,-115.691,"Low"
28,"ASA",29.731835,-115.76808,291.947538,"Semicossyphus pulcher","California sheephead","Vieja",20,1,720,38,29.75,-115.691,"Low"
29,"ASA",29.731835,-115.76808,291.947538,"Semicossyphus pulcher","California sheephead","Vieja",20,1,720,38,29.75,-115.691,"Low"
30,"ASA",29.731835,-115.76808,291.947538,"Semicossyphus pulcher","California sheephead","Vieja",20,1,720,38,29.75,-115.691,"Low"
31,"ASA",29.731835,-115.76808,291.947538,"Semicossyphus pulcher","California sheephead","Vieja",25,1,720,38,29.75,-115.691,"Low"
32,"ASA",29.731835,-115.76808,291.947538,"Semicossyphus pulcher","California sheephead","Vieja",15,1,720,38,29.75,-115.691,"Low"
33,"ASA",29.731835,-115.76808,291.947538,"Semicossyphus pulcher","California sheephead","Vieja",15,1,720,38,29.75,-115.691,"Low"
34,"ASA",29.731835,-115.76808,291.947538,"Semicossyphus pulcher","California sheephead","Vieja",15,1,720,38,29.75,-115.691,"Low"
35,"ASA",29.731835,-115.76808,291.947538,"Semicossyphus pulcher","California sheephead","Vieja",15,1,720,38,29.75,-115.691,"Low"
36,"ASA",29.731835,-115.76808,291.947538,"Semicossyphus pulcher","California sheephead","Vieja",15,1,720,38,29.75,-115.691,"Low"
37,"ASA",29.731835,-115.76808,291.947538,"Semicossyphus pulcher","California sheephead","Vieja",15,1,720,38,29.75,-115.691,"Low"
38,"ASA",29.731835,-115.76808,291.947538,"Semicossyphus pulcher","California sheephead","Vieja",15,1,720,38,29.75,-115.691,"Low"
39,"ASA",29.731835,-115.76808,291.947538,"Semicossyphus pulcher","California sheephead","Vieja",30,1,720,38,29.75,-115.691,"Low"
40,"ASA",29.731835,-115.76808,291.947538,"Semicossyphus pulcher","California sheephead","Vieja",30,1,720,38,29.75,-115.691,"Low"
41,"ASA",29.731835,-115.76808,291.947538,"Semicossyphus pulcher","California sheephead","Vieja",30,1,720,38,29.75,-115.691,"Low"
42,"ASA",29.731835,-115.76808,291.947538,"Semicossyphus pulcher","California sheephead","Vieja",35,1,720,38,29.75,-115.691,"Low"
43,"ASA",29.731835,-115.76808,291.947538,"Semicossyphus pulcher","California sheephead","Vieja",35,1,720,38,29.75,-115.691,"Low"
44,"ASA",29.731835,-115.76808,291.947538,"Semicossyphus pulcher","California sheephead","Vieja",45,1,720,38,29.75,-115.691,"Low"
45,"ASA",29.731835,-115.76808,291.947538,"Semicossyphus pulcher","California sheephead","Vieja",45,1,720,38,29.75,-115.691,"Low"
46,"ASA",29.731835,-115.76808,291.947538,"Semicossyphus pulcher","California sheephead","Vieja",45,1,720,38,29.75,-115.691,"Low"
47,"ASA",29.731835,-115.76808,291.947538,"Semicossyphus pulcher","California sheephead","Vieja",95,1,720,38,29.75,-115.691,"Low"
48,"ASA",29.731835,-115.76808,291.947538,"Semicossyphus pulcher","California sheephead","Vieja",60,1,720,38,29.75,-115.691,"Low"
49,"ASA",29.731835,-115.76808,291.947538,"Semicossyphus pulcher","California sheephead","Vieja",50,1,720,38,29.75,-115.691,"Low"
50,"ASA",29.731835,-115.76808,291.947538,"Semicossyphus pulcher","California sheephead","Vieja",55,1,720,38,29.75,-115.691,"Low"
51,"ASA",29.731835,-115.76808,291.947538,"Semicossyphus pulcher","California sheephead","Vieja",55,1,720,38,29.75,-115.691,"Low"
52,"ASA",29.731835,-115.76808,291.947538,"Semicossyphus pulcher","California sheephead","Vieja",55,1,720,38,29.75,-115.691,"Low"
53,"BMA",32.025276,-116.901537,37.375587,"Paralabrax clathratus","Kelp bass","Cabrilla Sargacera",15,1,720,23209,32.25,-117.007,"High"
54,"BMA",32.025276,-116.901537,37.375587,"Paralabrax clathratus","Kelp bass","Cabrilla Sargacera",15,1,720,23209,32.25,-117.007,"High"
55,"BMA",32.025276,-116.901537,37.375587,"Paralabrax clathratus","Kelp bass","Cabrilla Sargacera",25,1,720,23209,32.25,-117.007,"High"
56,"BMA",32.025276,-116.901537,37.375587,"Sebastes atrovirens","Kelp rockfish","Rocot sargacero",20,1,720,23209,32.25,-117.007,"High"
57,"BMA",32.025276,-116.901537,37.375587,"Sebastes atrovirens","Kelp rockfish","Rocot sargacero",20,1,720,23209,32.25,-117.007,"High"
58,"BMA",32.025276,-116.901537,37.375587,"Sebastes atrovirens","Kelp rockfish","Rocot sargacero",20,1,720,23209,32.25,-117.007,"High"
59,"BMA",32.025276,-116.901537,37.375587,"Sebastes atrovirens","Kelp rockfish","Rocot sargacero",20,1,720,23209,32.25,-117.007,"High"
60,"BMA",32.025276,-116.901537,37.375587,"Sebastes atrovirens","Kelp rockfish","Rocot sargacero",20,1,720,23209,32.25,-117.007,"High"
61,"BMA",32.025276,-116.901537,37.375587,"Sebastes atrovirens","Kelp rockfish","Rocot sargacero",20,1,720,23209,32.25,-117.007,"High"
62,"BMA",32.025276,-116.901537,37.375587,"Sebastes atrovirens","Kelp rockfish","Rocot sargacero",20,1,720,23209,32.25,-117.007,"High"
63,"BMA",32.025276,-116.901537,37.375587,"Sebastes atrovirens","Kelp rockfish","Rocot sargacero",20,1,720,23209,32.25,-117.007,"High"
64,"BMA",32.025276,-116.901537,37.375587,"Sebastes atrovirens","Kelp rockfish","Rocot sargacero",20,1,720,23209,32.25,-117.007,"High"
65,"BMA",32.025276,-116.901537,37.375587,"Sebastes atrovirens","Kelp rockfish","Rocot sargacero",20,1,720,23209,32.25,-117.007,"High"
66,"BMA",32.025276,-116.901537,37.375587,"Sebastes atrovirens","Kelp rockfish","Rocot sargacero",20,1,720,23209,32.25,-117.007,"High"
67,"BMA",32.025276,-116.901537,37.375587,"Sebastes atrovirens","Kelp rockfish","Rocot sargacero",20,1,720,23209,32.25,-117.007,"High"
68,"BMA",32.025276,-116.901537,37.375587,"Sebastes atrovirens","Kelp rockfish","Rocot sargacero",20,1,720,23209,32.25,-117.007,"High"
